Topic,Category,Difficulty,Platform,Views,Likes,Comments,Shares,Saves,Followers,Engagement,EngagementRate,Score,GrowthBand
Compounding,Wealth Building,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Rule of 72,Wealth Building,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
SIP,Wealth Building,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Inflation,Wealth Building,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Financial Freedom,Wealth Building,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Equity,Stock Market Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Market Capitalization,Stock Market Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Dividend,Stock Market Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Bonus Shares,Stock Market Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Stock Split,Stock Market Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Intraday Trading,Trading Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Delivery Trading,Trading Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Swing Trading,Trading Basics,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Position Trading,Trading Basics,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Risk Management,Trading Basics,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
GTT Orders,Trading Platform Features,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Stop Loss,Trading Platform Features,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Trailing Stop Loss,Trading Platform Features,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Limit Order,Trading Platform Features,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Market Order,Trading Platform Features,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Bracket Order,Trading Platform Features,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Cover Order,Trading Platform Features,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
PE Ratio,Investor Terminology,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
PB Ratio,Investor Terminology,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
ROE,Investor Terminology,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
ROCE,Investor Terminology,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
EPS,Investor Terminology,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
CAGR,Investor Terminology,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
XIRR,Investor Terminology,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
ETF,Investor Terminology,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
IPO,Investor Terminology,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
FOMO,Behavioral Finance,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Panic Selling,Behavioral Finance,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Greed,Behavioral Finance,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Confirmation Bias,Behavioral Finance,Intermediate,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
Overtrading,Behavioral Finance,Beginner,Both,0,0,0,0,0,0,0,0.0000,0,Low Growth
