Date,Topic,Category,Package,Status,NextStep
2026-01-05,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-06,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-07,SIP,Wealth Building,2026-01-07-03-sip,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-08,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-09,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-10,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-11,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-12,Dividend,Stock Market Basics,2026-01-12-08-dividend,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-13,Bonus Shares,Stock Market Basics,2026-01-13-09-bonus-shares,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-14,Stock Split,Stock Market Basics,2026-01-14-10-stock-split,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-15,Intraday Trading,Trading Basics,2026-01-15-11-intraday-trading,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-16,Delivery Trading,Trading Basics,2026-01-16-12-delivery-trading,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-17,Swing Trading,Trading Basics,2026-01-17-13-swing-trading,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-18,Position Trading,Trading Basics,2026-01-18-14-position-trading,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-19,Risk Management,Trading Basics,2026-01-19-15-risk-management,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-20,GTT Orders,Trading Platform Features,2026-01-20-16-gtt-orders,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-21,Stop Loss,Trading Platform Features,2026-01-21-17-stop-loss,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-22,Trailing Stop Loss,Trading Platform Features,2026-01-22-18-trailing-stop-loss,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-23,Limit Order,Trading Platform Features,2026-01-23-19-limit-order,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-24,Market Order,Trading Platform Features,2026-01-24-20-market-order,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-25,Bracket Order,Trading Platform Features,2026-01-25-21-bracket-order,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-26,Cover Order,Trading Platform Features,2026-01-26-22-cover-order,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-27,PE Ratio,Investor Terminology,2026-01-27-23-pe-ratio,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-28,PB Ratio,Investor Terminology,2026-01-28-24-pb-ratio,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-29,ROE,Investor Terminology,2026-01-29-25-roe,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-30,ROCE,Investor Terminology,2026-01-30-26-roce,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-01-31,EPS,Investor Terminology,2026-01-31-27-eps,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-01,CAGR,Investor Terminology,2026-02-01-28-cagr,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-02,XIRR,Investor Terminology,2026-02-02-29-xirr,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-03,ETF,Investor Terminology,2026-02-03-30-etf,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-04,IPO,Investor Terminology,2026-02-04-31-ipo,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-05,FOMO,Behavioral Finance,2026-02-05-32-fomo,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-06,Panic Selling,Behavioral Finance,2026-02-06-33-panic-selling,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-07,Greed,Behavioral Finance,2026-02-07-34-greed,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-08,Confirmation Bias,Behavioral Finance,2026-02-08-35-confirmation-bias,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
2026-02-09,Overtrading,Behavioral Finance,2026-02-09-36-overtrading,Draft,"Review scripts, visual brief, Canva package, metadata, and compliance notes."
